filename,width,height,class,xmin,ymin,xmax,ymax
00_image (10).png,256,256,headstone,1,18,15,38
00_image (10).png,256,256,headstone,3,81,18,99
00_image (10).png,256,256,headstone,6,143,24,162
00_image (10).png,256,256,headstone,12,202,29,222
00_image (10).png,256,256,headstone,18,91,34,110
00_image (10).png,256,256,headstone,23,155,41,174
00_image (10).png,256,256,headstone,28,215,47,235
00_image (10).png,256,256,headstone,32,43,46,61
00_image (10).png,256,256,headstone,37,106,51,124
00_image (10).png,256,256,headstone,40,1,57,11
00_image (10).png,256,256,headstone,40,167,57,186
00_image (10).png,256,256,headstone,46,54,62,71
00_image (10).png,256,256,headstone,46,228,62,249
00_image (10).png,256,256,headstone,52,116,68,134
00_image (10).png,256,256,headstone,58,7,74,23
00_image (10).png,256,256,headstone,58,177,75,197
00_image (10).png,256,256,headstone,63,65,80,84
00_image (10).png,256,256,headstone,69,130,86,149
00_image (10).png,256,256,headstone,74,192,92,211
00_image (10).png,256,256,headstone,81,79,98,99
00_image (10).png,256,256,headstone,86,140,104,160
00_image (10).png,256,256,headstone,90,28,109,47
00_image (10).png,256,256,headstone,93,203,109,221
00_image (10).png,256,256,headstone,99,90,114,109
00_image (10).png,256,256,headstone,103,152,120,172
00_image (10).png,256,256,headstone,108,40,125,59
00_image (10).png,256,256,headstone,109,216,126,235
00_image (10).png,256,256,headstone,115,104,131,122
00_image (10).png,256,256,headstone,119,1,137,11
00_image (10).png,256,256,headstone,121,167,136,184
00_image (10).png,256,256,headstone,125,53,143,72
00_image (10).png,256,256,headstone,126,228,142,247
00_image (10).png,256,256,headstone,131,115,146,133
00_image (10).png,256,256,headstone,133,4,151,24
00_image (10).png,256,256,headstone,137,177,151,195
00_image (10).png,256,256,headstone,142,65,156,84
00_image (10).png,256,256,headstone,148,130,163,147
00_image (10).png,256,256,headstone,150,16,168,36
00_image (10).png,256,256,headstone,154,189,168,209
00_image (10).png,256,256,headstone,156,79,173,97
00_image (10).png,256,256,headstone,165,140,179,158
00_image (10).png,256,256,headstone,167,28,184,48
00_image (10).png,256,256,headstone,168,202,184,220
00_image (10).png,256,256,headstone,173,89,190,108
00_image (10).png,256,256,headstone,180,152,196,170
00_image (10).png,256,256,headstone,185,39,202,58
00_image (10).png,256,256,headstone,185,216,201,235
00_image (10).png,256,256,headstone,192,101,207,120
00_image (10).png,256,256,headstone,196,1,214,11
00_image (10).png,256,256,headstone,202,51,219,72
00_image (10).png,256,256,headstone,203,229,219,246
00_image (10).png,256,256,headstone,208,114,225,134
00_image (10).png,256,256,headstone,213,3,231,23
00_image (10).png,256,256,headstone,214,176,230,194
00_image (10).png,256,256,headstone,219,64,236,83
00_image (10).png,256,256,headstone,220,239,236,256
